epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.553,1.14437,0.95266,1.32618,0.56964,0.41045,0.47216,0.31433,1.25433,1.1964,1.36914,0.000332606,0.000332606,0.000332606
2,333.867,1.19476,1.08956,1.36611,0.49043,0.41852,0.42352,0.27457,1.26727,1.35906,1.40445,0.000600011,0.000600011,0.000600011
3,491.883,1.23036,1.16081,1.3994,0.49752,0.41341,0.41321,0.27889,1.24414,1.33153,1.40479,0.000801416,0.000801416,0.000801416
4,651.054,1.2393,1.17847,1.40074,0.51973,0.40239,0.44721,0.30173,1.21666,1.23972,1.3807,0.000703,0.000703,0.000703
5,809.582,1.2184,1.13745,1.39424,0.53961,0.42767,0.47206,0.31755,1.23521,1.18701,1.38711,0.000604,0.000604,0.000604
6,966.593,1.19458,1.09249,1.37192,0.54081,0.41705,0.46352,0.31073,1.22935,1.20376,1.36623,0.000505,0.000505,0.000505
7,1127.71,1.19115,1.065,1.3651,0.55578,0.43948,0.501,0.33723,1.22893,1.14726,1.34626,0.000406,0.000406,0.000406
8,1286.28,1.16486,1.00902,1.34643,0.54459,0.4584,0.50248,0.34422,1.1704,1.13364,1.322,0.000307,0.000307,0.000307
9,1446.18,1.14087,0.96615,1.33484,0.52265,0.49009,0.51147,0.35295,1.17933,1.08981,1.32399,0.000208,0.000208,0.000208
10,1605.67,1.12169,0.93337,1.31798,0.57484,0.47837,0.52499,0.36117,1.17719,1.06948,1.31372,0.000109,0.000109,0.000109
