epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.523,0.9334,3.39026,1.44858,0.0872,0.7,0.20022,0.13359,0.61257,3.79815,1.22662,0.00013332,0.00013332,0.00013332
2,483.83,0.75877,3.15204,1.31422,0.03803,1,0.36646,0.23853,0.7222,3.81991,1.32432,0.000273167,0.000273167,0.000273167
3,767.336,0.73707,2.86158,1.28883,0.01246,1,0.35793,0.23496,0.82728,3.81897,1.42958,0.000408248,0.000408248,0.000408248
4,997.084,0.84757,2.5453,1.36339,0.00633,0.96,0.36973,0.18193,1.37012,3.89658,2.09696,0.000538563,0.000538563,0.000538563
5,1230.85,0.85822,2.16525,1.33729,0.8544,0.07463,0.2798,0.14394,1.99547,3.96459,2.67021,0.000664111,0.000664111,0.000664111
6,1450.28,0.83415,2.03939,1.34069,0.32794,0.34222,0.35195,0.22058,1.14603,3.36786,1.86647,0.000784894,0.000784894,0.000784894
7,1649.65,0.84628,1.8603,1.32166,0.59658,0.29374,0.49748,0.26206,1.31344,3.3895,1.98911,0.00090091,0.00090091,0.00090091
8,1848.27,0.82887,1.74834,1.32876,0.47777,0.62331,0.60841,0.42388,1.0697,2.74038,1.70188,0.000982679,0.000982679,0.000982679
9,2046.3,0.83057,1.67174,1.3369,0.6326,0.57859,0.61075,0.46415,0.98251,2.74622,1.59212,0.000964348,0.000964348,0.000964348
10,2245.89,0.8018,1.64775,1.29002,0.65957,0.52249,0.65117,0.48031,0.92178,2.42723,1.58506,0.000946016,0.000946016,0.000946016
11,2444.47,0.80045,1.5875,1.27308,0.59543,0.70894,0.6704,0.50426,0.89213,2.25631,1.50418,0.000927685,0.000927685,0.000927685
12,2651.02,0.81888,1.57836,1.30603,0.42794,0.61968,0.50175,0.35498,0.93262,2.81999,1.60306,0.000909353,0.000909353,0.000909353
13,2857.79,0.77821,1.48383,1.25949,0.40743,0.57808,0.46444,0.31238,0.92848,2.83932,1.60266,0.000891022,0.000891022,0.000891022
14,3065.17,0.78774,1.49763,1.30087,0.37582,0.5242,0.43382,0.30266,1.10334,3.56283,1.6942,0.000872691,0.000872691,0.000872691
15,3271.1,0.80255,1.4354,1.32007,0.64134,0.45152,0.4194,0.27965,0.90564,3.42123,1.47315,0.000854359,0.000854359,0.000854359
