epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1656.97,0.84435,1.42555,1.27089,0.72241,0.4,0.81006,0.42669,1.7278,2.62738,4.28113,0.000709599,0.000709599,0.000709599
44,1688.83,0.88235,1.29284,1.11035,0.826,0.37799,0.85056,0.34827,1.64635,2.64893,4.2106,0.000713987,0.000713987,0.000713987
45,1721.01,0.81817,1.41895,1.27221,0.826,0.37799,0.85056,0.34827,1.64635,2.64893,4.2106,0.00071781,0.00071781,0.00071781
46,1753.84,0.79654,1.29108,1.14223,0.7829,0.3,0.83389,0.46581,1.38034,2.67582,3.20369,0.000721066,0.000721066,0.000721066
47,1787.31,0.74618,1.27871,1.16775,0.7829,0.3,0.83389,0.46581,1.38034,2.67582,3.20369,0.000723757,0.000723757,0.000723757
48,1819.56,0.95735,1.5101,1.31105,0.84954,0.3,0.87516,0.54418,1.25319,2.67618,3.45863,0.000725882,0.000725882,0.000725882
49,1852.67,0.82287,1.41265,1.15523,0.84954,0.3,0.87516,0.54418,1.25319,2.67618,3.45863,0.000727441,0.000727441,0.000727441
50,1884.85,0.77051,1.37332,1.19327,0.8948,0.37921,0.8975,0.58483,1.21561,2.68257,2.76653,0.000728434,0.000728434,0.000728434
51,1916.75,0.87334,1.37126,1.22091,0.8948,0.37921,0.8975,0.58483,1.21561,2.68257,2.76653,0.000721645,0.000721645,0.000721645
52,1949.21,0.70197,1.22185,1.09482,0.82654,0.37962,0.47743,0.25668,1.1121,3.09775,2.33424,0.000707498,0.000707498,0.000707498
53,1981.13,0.75013,1.16803,1.12936,0.82654,0.37962,0.47743,0.25668,1.1121,3.09775,2.33424,0.000693351,0.000693351,0.000693351
54,2013.25,0.69264,1.22416,1.14529,0.98923,0.2,0.38999,0.18848,1.3606,3.01451,2.43086,0.000679204,0.000679204,0.000679204
55,2046.34,0.6552,1.15641,1.09276,0.98923,0.2,0.38999,0.18848,1.3606,3.01451,2.43086,0.000665057,0.000665057,0.000665057
56,2079,0.71893,1.28251,1.14165,1,0.27958,0.50582,0.28196,1.51469,2.96517,2.29393,0.000650909,0.000650909,0.000650909
57,2110.85,0.76961,1.16883,1.19196,1,0.27958,0.50582,0.28196,1.51469,2.96517,2.29393,0.000636762,0.000636762,0.000636762
58,2143.03,0.7213,1.09306,1.13164,0.85283,0.3,0.38967,0.26778,1.24161,2.93608,1.90164,0.000622615,0.000622615,0.000622615
59,2174.85,0.72965,1.15464,1.05943,0.85283,0.3,0.38967,0.26778,1.24161,2.93608,1.90164,0.000608468,0.000608468,0.000608468
60,2208.09,0.92054,1.347,1.12536,0.87092,0.3,0.41825,0.31803,1.10364,2.67551,1.59753,0.000594321,0.000594321,0.000594321
61,2245.07,0.68567,1.05121,1.10051,0.87092,0.3,0.41825,0.31803,1.10364,2.67551,1.59753,0.000580174,0.000580174,0.000580174
62,2280.17,0.88618,1.19264,1.20972,0.78272,0.4,0.38659,0.30563,1.10251,2.48733,1.63609,0.000566027,0.000566027,0.000566027
63,2312.64,0.74114,1.24736,1.1412,0.78272,0.4,0.38659,0.30563,1.10251,2.48733,1.63609,0.00055188,0.00055188,0.00055188
64,2346.66,0.71049,1.16186,1.12839,0.16059,0.4,0.31738,0.24049,1.18779,2.59229,1.74716,0.000537733,0.000537733,0.000537733
65,2378.73,0.57603,1.1043,1.01691,0.16059,0.4,0.31738,0.24049,1.18779,2.59229,1.74716,0.000523586,0.000523586,0.000523586
66,2412.12,0.7424,1.17181,1.22322,0.45626,0.9,0.73196,0.57237,1.09384,2.6696,1.71567,0.000509438,0.000509438,0.000509438
67,2444.13,0.79059,1.24161,1.18212,0.45626,0.9,0.73196,0.57237,1.09384,2.6696,1.71567,0.000495291,0.000495291,0.000495291
68,2476.21,0.66605,1.16581,1.13428,0.66286,0.9,0.82048,0.61169,1.12327,2.46258,1.91288,0.000481144,0.000481144,0.000481144
69,2508.51,0.85932,1.37241,1.19241,0.66286,0.9,0.82048,0.61169,1.12327,2.46258,1.91288,0.000466997,0.000466997,0.000466997
70,2540.58,0.65038,1.1346,1.08769,0.7233,0.9,0.845,0.67425,1.31724,2.20091,2.10075,0.00045285,0.00045285,0.00045285
71,2576.04,0.63296,0.99459,1.11111,0.7233,0.9,0.845,0.67425,1.31724,2.20091,2.10075,0.000438703,0.000438703,0.000438703
72,2613.13,0.6802,1.17551,1.12775,0.67883,0.9,0.86722,0.64131,1.28805,2.13643,2.06434,0.000424556,0.000424556,0.000424556
73,2645.69,0.78689,1.34315,1.20165,0.67883,0.9,0.86722,0.64131,1.28805,2.13643,2.06434,0.000410409,0.000410409,0.000410409
74,2678.69,0.74154,1.10217,1.09001,0.67579,1,0.9375,0.75025,1.21195,1.96544,1.96736,0.000396262,0.000396262,0.000396262
75,2711.24,0.7518,1.16094,1.13392,0.67579,1,0.9375,0.75025,1.21195,1.96544,1.96736,0.000382115,0.000382115,0.000382115
76,2743.23,0.70063,1.12507,1.1791,0.75683,1,0.995,0.70539,1.13376,1.87006,1.86947,0.000367967,0.000367967,0.000367967
77,2776.62,0.64981,1.06515,1.10316,0.75683,1,0.995,0.70539,1.13376,1.87006,1.86947,0.00035382,0.00035382,0.00035382
78,2808.36,0.66068,1.06294,1.09108,0.75993,1,0.995,0.75089,0.85678,1.90281,1.58131,0.000339673,0.000339673,0.000339673
79,2840.28,0.83204,1.24563,1.25948,0.75993,1,0.995,0.75089,0.85678,1.90281,1.58131,0.000325526,0.000325526,0.000325526
80,2873.04,0.62563,1.07807,1.16443,0.76515,1,0.995,0.81254,0.78613,1.67007,1.43977,0.000311379,0.000311379,0.000311379
81,2905.06,0.61832,1.0688,1.13861,0.76515,1,0.995,0.81254,0.78613,1.67007,1.43977,0.000297232,0.000297232,0.000297232
82,2937.3,0.61084,1.10986,1.07551,0.82984,1,0.995,0.85273,0.57188,1.57548,1.27279,0.000283085,0.000283085,0.000283085
83,2969.58,0.63853,1.1096,1.02678,0.82984,1,0.995,0.85273,0.57188,1.57548,1.27279,0.000268938,0.000268938,0.000268938
84,3001.71,0.65887,1.00063,1.11916,0.78619,1,0.995,0.82028,0.5691,1.56509,1.30067,0.000254791,0.000254791,0.000254791
85,3033.59,0.67436,1.01017,1.04694,0.78619,1,0.995,0.82028,0.5691,1.56509,1.30067,0.000240644,0.000240644,0.000240644
86,3065.75,0.58479,1.00002,1.06458,0.69485,1,0.995,0.82736,0.59467,1.58911,1.35773,0.000226497,0.000226497,0.000226497
87,3097.47,0.59689,1.04602,1.06757,0.69485,1,0.995,0.82736,0.59467,1.58911,1.35773,0.000212349,0.000212349,0.000212349
88,3130.4,0.6605,0.98191,1.09784,0.66697,1,0.995,0.85228,0.62371,1.58977,1.39127,0.000198202,0.000198202,0.000198202
89,3162.88,0.54908,1.02231,1.09554,0.66697,1,0.995,0.85228,0.62371,1.58977,1.39127,0.000184055,0.000184055,0.000184055
90,3195.1,0.54272,0.94623,1.04562,1,0.47051,0.995,0.84227,0.64952,1.62402,1.38047,0.000169908,0.000169908,0.000169908
91,3227.32,0.50909,1.38814,1.01918,1,0.47051,0.995,0.84227,0.64952,1.62402,1.38047,0.000155761,0.000155761,0.000155761
92,3259.57,0.47269,1.37481,0.91395,1,0.48154,0.995,0.83061,0.66769,1.64071,1.36629,0.000141614,0.000141614,0.000141614
93,3291.53,0.64002,1.59427,1.16378,1,0.48154,0.995,0.83061,0.66769,1.64071,1.36629,0.000127467,0.000127467,0.000127467
94,3324.68,0.43621,1.30684,0.93284,0.91568,0.5,0.995,0.82994,0.67835,1.60115,1.36136,0.00011332,0.00011332,0.00011332
95,3356.74,0.53192,1.49166,1.03474,0.91568,0.5,0.995,0.82994,0.67835,1.60115,1.36136,9.91726e-05,9.91726e-05,9.91726e-05
96,3388.64,0.50921,1.38111,1.01029,0.91061,0.5,0.97833,0.81918,0.66212,1.65163,1.33857,8.50255e-05,8.50255e-05,8.50255e-05
97,3420.47,0.43615,1.29222,1.0123,0.91061,0.5,0.97833,0.81918,0.66212,1.65163,1.33857,7.08784e-05,7.08784e-05,7.08784e-05
98,3452.81,0.43899,1.36874,1.01386,0.91139,0.5,0.97833,0.76926,0.64666,1.70184,1.31903,5.67313e-05,5.67313e-05,5.67313e-05
99,3484.81,0.44408,1.37047,1.03344,0.91139,0.5,0.97833,0.76926,0.64666,1.70184,1.31903,4.25842e-05,4.25842e-05,4.25842e-05
100,3518.08,0.46857,1.23382,0.97396,0.91195,0.5,0.97833,0.76926,0.6275,1.71984,1.28415,2.84371e-05,2.84371e-05,2.84371e-05
